शब्द	मूल	पर्याय	मूल भाषा में	रूप	Regex	Reference
ख़िल्क़त	अरबी	सृष्टि, जनसमूह, संसार		ख़िलकत, ख़ल्कत		
ख़िलाफ़	अरबी	विरुद्ध				
ख़ुत्बा	अरबी	इस्लामी उपदेश				
खुद्दार	फारसी	स्वाभिमानी		खुददार		
खुद्दारी	फारसी	स्वाभिमान		खुददारी		
खुद	फारसी	स्वयं, साक्षात		खुदको, खूद, khud, Khud		
खुदगर्ज	फारसी	स्वार्थी, स्वार्थपरायण, स्वार्थनिष्ठ		खुदगर्जो		
खुदगर्जी	फारसी	स्वार्थ				
खुदा	फारसी	अल्लाह				
खुदी	फारसी	अहङ्कार, गर्व, घमण्ड				
खुफिया	फारसी	गुप्त				
खुबानी	फारसी	???				
खुमार	अरबी	मद				
खुर्रम	फारसी	प्रसन्नचित्त, आनन्दित, हर्षित				
खुलेआम	हिन्दी+अरबी	प्रत्यक्ष रूप से				
खुश	फारसी	प्रसन्न				
खुशकिस्मत	फारसी+अरबी	भाग्यवान, सौभाग्यशाली, भाग्यशाली				
खुशखबर	अरबी+फारसी	शुभ समाचार		ख़ुशख़बरी		
खुशनसीब	अरबी+फारसी	भाग्यवान, सौभाग्यशाली, भाग्यशाली				
खुशनुमा	फारसी	सुन्दर, मोहक, मनोहर				
खुशबु	फारसी	सुगन्ध		खुशबू, खूशबु, खूशबू, खुश्बु,खुश्बू, खूश्बु, खूश्बू		
खुशबूदार	फारसी	सुगन्धित				
खुशमिज़ाज	फारसी	हँसमुख, प्रसन्नचित				
खुशहाल	अरबी+फारसी	सुखी, प्रसन्न, आनन्दित, सौभाग्यशाली				
खुशहाली	अरबी+फारसी	हर्षोल्लास, आनन्द, प्रसन्नता, समृद्धि				
खुशी	फारसी	आनन्द, प्रसन्नता, हर्ष, हर्षोल्लास		खुशियां, खुशियाँ, खुशियों		
खूंखार	फारसी	हिंसक, क्रूर, निर्दयी		खूँख़ार		
खून	फारसी	रक्त, हत्या, वध, लहू		खुन		
खूनखराबा	फारसी+अरबी	रक्तपात, हिंसा, मारकाट		खूनखराबे		
खूनी	फारसी	हत्यारा, रक्तरञ्जित, हिंसक				
खूब	फारसी	अच्छा, उत्तम, अधिक, बहुत	خوب	खुब		
खूबसूरत	अरबी+फारसी	सुन्दर, आकर्षक, अतिसुन्दर, दर्शनीय, रमणीय		खुबसूरत, खुबसुरत, खूबसुरत		
खूबसूरती	अरबी+फारसी	सुन्दरता, रमणीयता,		खुबसूरती, खुबसुरती, खूबसुरती		
खूबी	फारसी	विशेषता		खूबियां, खूबियाँ, खुबी,खुबीयां, खुबीयाँ		
खैर	???	अच्छा				
खैरकदम	अरबी	स्वागत				
खैरात	अरबी	दान, उपकार, सहायता				
ख़ैरियत	अरबी	भलाई				
खौफ	अरबी	भय, डर				
ख़ौफ़नाक	अरबी	डरावना, भयानक				
						
ग्रुप्	आङ्ग्लभाषा	समूह	group	ग्रुप		
ग्लोबल्	आङ्ग्लभाषा	वैश्विक , भूमंडलीय,  	global	ग्लोबल		
गजल	अरबी	???				
गजब	अरबी	अद्भुत, आश्चर्यजनक, आश्चर्यकारक, विस्मयकारी		गज्जब		
गजवा	अरबी	इस्लाम को न मानने वालों के ऊपर आक्रमण	غَزْوَة			
गद्दार	अरबी	राष्ट्रद्रोही, देशद्रोही, विद्रोही		गद्दारों, गद्दारो		https://en.m.wiktionary.org/wiki/ghazwa#:~:text=A%20battle%20or%20raid%20against,of%20non%2DMuslims%20to%20Islam.
